Survey Year 1,Survey Year 2,Column Variable,Row Variable,Control Variable,Weight Variable
2002,2003,ABODANL,STNAME,NONE,DASWT_1
2002,2003,ABODANL,STNAME,ABODHER,DASWT_1
2002,2003,ABODHER,STNAME,NONE,DASWT_1
2004,2005,ABODANL,STNAME,NONE,DASWT_1
2004,2005,ABODANL,STNAME,ABODHER,DASWT_1
2004,2005,ABODHER,STNAME,NONE,DASWT_1
2006,2007,ABODANL,STNAME,NONE,DASWT_1
2006,2007,ABODANL,STNAME,ABODHER,DASWT_1
2006,2007,ABODHER,STNAME,NONE,DASWT_1
2008,2009,ABODANL,STNAME,NONE,DASWT_1
2008,2009,ABODANL,STNAME,ABODHER,DASWT_1
2008,2009,ABODHER,STNAME,NONE,DASWT_1
2010,2011,ABODANL,STNAME,NONE,DASWT_1
2010,2011,ABODANL,STNAME,ABODHER,DASWT_1
2010,2011,ABODHER,STNAME,NONE,DASWT_1
2012,2013,ABODANL,STNAME,NONE,DASWT_1
2012,2013,ABODANL,STNAME,ABODHER,DASWT_1
2012,2013,ABODHER,STNAME,NONE,DASWT_1
2014,2015,ABODHER,STNAME,NONE,DASWT_1
2015,2016,UDPYOPI,STNAME,NONE,DASWT_1
2016,2017,UDPYOPI,STNAME,NONE,DASWT_1
2017,2018,UDPYOPI,STNAME,NONE,DASWT_1
